,0,1
678,K-005588,199600863
679,K-018147,200511058
680,K-037492,201506799
681,K-029533,201202805
682,K-028602,201104066
683,K-024853,200810693
684,K-017972,200503302
685,K-010240,200009088
686,K-004490,199400202
687,K-030308,201208291
688,K-008482,199907080
689,K-024883,200810828
690,K-023351,200803184
691,K-033992,201404019
692,K-029872,201206336
693,K-029864,201206327
694,K-023557,200804633
695,K-036213,201502684
696,K-044830,201804378
697,K-049428,201907607
698,K-013266,200301507
699,K-028575,201103986
700,K-037086,201505105
701,K-003857,199201988
702,K-024854,200810700
703,K-040996,201700244
704,K-003576,199200108
705,K-038190,201600396
706,K-026117,200904990
707,K-023594,200804912
708,K-033185,201402411
709,K-031625,201308619
710,K-005002,199500435
711,K-052637,202005452
712,K-022118,200709641
713,K-023243,200802325
714,K-037941,201508035
715,K-027574,201004044
716,K-022706,200712982
717,K-002942,199000361
718,K-014949,200402018
719,K-019973,200611316
720,K-022815,200713637
721,K-014487,200401043
722,K-000135,197100015
723,K-027157,201001682
724,K-031211,201307580
725,K-031326,201307927
726,K-030741,201304804
727,K-014684,200401452
728,K-038132,201600210
729,K-037747,201507585
730,K-015988,200404201
731,K-022796,200713519
732,K-050103,202000107
733,K-044761,201804237
734,K-013937,200308577
735,K-016656,200500438
736,K-003499,199102275
737,K-028684,201105144
738,K-002513,198801976
739,K-016731,200500565
740,K-033876,201403835
741,K-016805,200500717
742,K-021213,200705402
743,K-017312,200501778
744,K-028441,201103179
745,K-035918,201501998
746,K-000836,198200120
747,K-027734,201005082
748,K-002914,199000139
749,K-033340,201402850
750,K-000041,196200034
751,K-006628,199702588
752,K-028977,201109232
753,K-003143,199001832
754,K-027182,201001731
755,K-025335,200901618
756,K-017057,200501241
757,K-014616,200401318
758,K-034285,201404615
759,K-032658,201400762
760,K-008877,200001184
761,K-006234,199701024
762,K-030649,201302390
763,K-001459,198500628
764,K-032410,201310991
765,K-036344,201502973
766,K-037566,201507070
767,K-030524,201300051
768,K-014967,200402063
769,K-008138,199902683
770,K-036254,201502753
771,K-031327,201307928
772,K-028437,201103151
773,K-022759,200713296
774,K-003162,199002111
775,K-029786,201206020
776,K-028709,201105486
777,K-002880,198902559
778,K-005962,199604709
779,K-003364,199101298
780,K-000121,197000076
781,K-007824,199900936
782,K-032591,201400451
783,K-035749,201501637
784,K-019460,200607004
785,K-031766,201309088
786,K-032521,201400352
787,K-038855,201602430
788,K-019552,200607734
789,K-038852,201602427
790,K-012346,200204177
791,K-027049,201000978
792,K-001676,198600470
793,K-024329,200807809
794,K-004622,199400946
795,K-011530,200200377
796,K-014262,200400478
797,K-030244,201207542
798,K-039048,201602909
799,K-029675,201205263
800,K-002673,198900578
801,K-028285,201101491
802,K-040333,201605334
803,K-009460,200003111
804,K-034413,201404850
805,K-005342,199502843
806,K-018114,200510991
807,K-001685,198600614
808,K-011630,200200723
809,K-024088,200806961
810,K-037975,201508211
811,K-030295,201208083
812,K-005203,199501757
813,K-029055,201109442
814,K-028424,201102769
815,K-015102,200402281
816,K-031302,201307896
817,K-030096,201207009
818,K-001731,198601051
819,K-037366,201506481
820,K-022347,200710758
821,K-030668,201302670
822,K-041949,201705044
823,K-030939,201306407
824,K-002049,198701672
825,K-033421,201402984
826,K-026586,200906062
827,K-035341,201500673
828,K-012847,200300579
829,K-023113,200801517
830,K-000742,198100091
831,K-002754,198901319
832,K-021686,200707947
833,K-011087,200103523
834,K-018224,200511382
835,K-020259,200701034
836,K-007588,199806985
837,K-029991,201206759
838,K-016025,200404437
839,K-003743,199201106
840,K-006681,199702974
841,K-004572,199400635
842,K-029617,201204550
843,K-021260,200705587
844,K-027399,201003164
845,K-017973,200503303
846,K-036297,201502813
847,K-010158,200008797
848,K-042202,201706447
849,K-011599,200200611
850,K-014622,200401325
851,K-038107,201508555
852,K-011545,200200422
853,K-015621,200403323
854,K-005676,199601520
855,K-024914,200810940
856,K-022286,200710496
857,K-036176,201502644
858,K-030957,201306425
859,K-025185,200900698
860,K-013509,200302050
861,K-027064,201000994
862,K-017714,200502640
863,K-000397,197700114
864,K-007737,199900493
865,K-010320,200100108
866,K-040265,201605049
867,K-025691,200903830
868,K-032002,201309744
869,K-002236,198800718
870,K-019607,200607849
871,K-029315,201200186
872,K-033026,201401986
873,K-014971,200402069
874,K-028510,201103608
875,K-009387,200002729
876,K-032440,201400102
877,K-017912,200503125
878,K-038225,201600507
879,K-012081,200202194
880,K-006025,199700120
881,K-005558,199600597
882,K-029992,201206760
883,K-037991,201508281
884,K-016909,200500971
885,K-005647,199601314
886,K-011166,200103964
887,K-024608,200809300
888,K-007572,199806820
889,K-021058,200704671
890,K-005249,199502153
891,K-033398,201402936
892,K-037315,201506156
893,K-030326,201208462
894,K-003397,199101449
895,K-038556,201601537
896,K-016206,200409982
897,K-028623,201104359
898,K-022226,200710202
899,K-016039,200404611
900,K-016162,200404867
901,K-013826,200307798
902,K-010612,200101315
903,K-016249,200410142
904,K-036289,201502798
905,K-009015,200001827
906,K-036315,201502915
907,K-023030,200801080
908,K-031999,201309741
909,K-045103,201805241
910,K-032154,201310207
911,K-014275,200400508
912,K-028316,201101759
913,K-024375,200808091
914,K-037733,201507521
915,K-018414,200600123
916,K-037999,201508300
917,K-000272,197500016
918,K-024981,200811253
919,K-032358,201310841
920,K-037809,201507762
921,K-006854,199800085
922,K-018946,200603815
923,K-030511,201300034
924,K-029851,201206297
925,K-021612,200707542
926,K-030177,201207417
927,K-038783,201602296
928,K-008123,199902599
929,K-004624,199400948
930,K-018337,200512327
931,K-025097,200812014
932,K-012003,200201855
933,K-029749,201205832
934,K-028818,201107227
935,K-015190,200402452
936,K-020877,200703803
937,K-011064,200103343
938,K-029205,201110501
939,K-015269,200402643
940,K-017668,200502474
941,K-037418,201506633
942,K-001346,198401033
943,K-022465,200711422
944,K-014178,200400324
945,K-007143,199801575
946,K-018460,200600225
947,K-007146,199801581
948,K-007499,199804362
949,K-000441,197800009
950,K-010449,200100602
951,K-009495,200003403
952,K-033056,201402057
953,K-029451,201201587
954,K-030738,201304742
955,K-007925,199901516
956,K-018634,200600527
957,K-015262,200402623
958,K-025629,200903392
959,K-021063,200704765
960,K-019843,200610627
961,K-007945,199901644
962,K-017237,200501597
963,K-004548,199400500
964,K-003704,199200869
965,K-028128,201100793
966,K-005163,199501552
967,K-036798,201504199
968,K-038449,201601174
969,K-037513,201506829
970,K-007898,199901332
971,K-030242,201207540
972,K-024240,200807469
973,K-031600,201308588
974,K-025030,200811530
975,K-029643,201204971
976,K-014348,200400687
977,K-032537,201400379
978,K-003728,199201048
979,K-021004,200704505
980,K-027060,201000989
981,K-014060,200400121
982,K-029768,201205950
983,K-014121,200400233
984,K-023531,200804360
985,K-006855,199800086
986,K-004105,199300758
987,K-038144,201600261
